country,first,second,third,fourth,fifth
Australia,Afghanistan,Albania,Algeria,American Samoa,Andorra
Saint Kitts And Nevis,Dominica,Martinique,Guadeloupe,Montserrat,Antigua And Barbuda
Malawi,Zambia,Mozambique,Ethiopia,Kenya,Zimbabwe
Canada,Russia,Mongolia,Svalbard And Jan Mayen,Finland,Norway
Åland,Estonia,Lithuania,Latvia,Liechtenstein,Saint Pierre And Miquelon
Poland,Slovakia,Czech Republic,Germany,Austria,Lithuania
Togo,Benin,Ghana,Ivory Coast,Republic of the Congo,Burkina Faso
Guam,Northern Mariana Islands,Afghanistan,Albania,Algeria,American Samoa
Barbados,Saint Lucia,Saint Vincent And The Grenadines,Grenada,Guadeloupe,Montserrat
New Zealand,Philippines,Afghanistan,Albania,Algeria,American Samoa
Iran,Syria,Jordan,Lebanon,Morocco,Tunisia
Armenia,Georgia,United States of America,Moldova,Romania,Ukraine
India,Burma,Laos,Bangladesh,Vietnam,Guatemala
Honduras,El Salvador,Belize,Nicaragua,Venezuela,Colombia
Azerbaijan,Turkey,Bulgaria,South Korea,Macedonia,Japan
Israel,Gaza Strip,Northern Cyprus,Jordan,Tunisia,Lebanon
Kuwait,Bahrain,Algeria,Qatar,Saudi Arabia,Iraq
Czech Republic,Slovakia,Poland,Germany,Switzerland,Austria
Republic of Serbia,Montenegro,Hungary,Macedonia,Bosnia and Herzegovina,Bulgaria
Palmyra Atoll,Kingman Reef,Kiribati,Afghanistan,Albania,Algeria
Belarus,Lithuania,Latvia,Estonia,Ukraine,Poland
Ecuador,Afghanistan,Albania,Algeria,American Samoa,Andorra
Northern Cyprus,Gaza Strip,Israel,Lebanon,Malta,Jordan
Singapore,Malaysia,Cambodia,Thailand,Trinidad and Tobago,Barbados
Curaçao,"Bonaire, Saint Eustatius And Saba",Aruba,Saint Vincent And The Grenadines,Saint Lucia,Anguilla
Sint Maarten,Anguilla,Saint Barthélemy,Saint Martin,Antigua And Barbuda,Montserrat
Belgium,Luxembourg,Netherlands,Monaco,Germany,Slovenia
Palestina,Guatemala,Honduras,Burma,Colombia,Vietnam
Sao Tome And Principe,Equatorial Guinea,Central African Republic,Democratic Republic of the Congo,Cameroon,Gabon
Saint Barthélemy,Anguilla,Saint Martin,Sint Maarten,Antigua And Barbuda,Montserrat
Svalbard And Jan Mayen,Canada,Norway,Russia,Finland,Iceland
Cape Verde,Guinea,Guinea Bissau,Sierra Leone,Liberia,Gambia
Bangladesh,Burma,Laos,Vietnam,Thailand,Belize
Estonia,Latvia,Lithuania,Belarus,Åland,Sweden
Lithuania,Latvia,Belarus,Estonia,Poland,Austria
Mali,Senegal,Gambia,Guinea Bissau,Burkina Faso,Guinea
Guyana,Suriname,French Guiana,Trinidad and Tobago,Venezuela,Barbados
Haiti,Jamaica,British Virgin Islands,Virgin Islands,Turks And Caicas Islands,Cayman Islands
North Korea,China,Ukraine,United States of America,Armenia,Belarus
Guatemala,Honduras,Belize,El Salvador,Colombia,Burma
"Bonaire, Saint Eustatius And Saba",Curaçao,Saint Vincent And The Grenadines,Anguilla,Saint Barthélemy,Saint Martin
South Georgia And The South Sandwich Isla,Afghanistan,Albania,Algeria,American Samoa,Andorra
Malaysia,Singapore,Cambodia,Thailand,Venezuela,Trinidad and Tobago
Senegal,Gambia,Guinea Bissau,Guinea,Mali,Sierra Leone
South Africa,Swaziland,Namibia,Lesotho,Botswana,Afghanistan
Qatar,Bahrain,Kuwait,Saudi Arabia,Mauritania,Algeria
Aruba,Curaçao,"Bonaire, Saint Eustatius And Saba",Saint Vincent And The Grenadines,Anguilla,Saint Barthélemy
Costa Rica,Afghanistan,Albania,Algeria,American Samoa,Andorra
Burundi,Rwanda,Uganda,Zimbabwe,Republic of the Congo,Zambia
Northern Mariana Islands,Guam,Afghanistan,Albania,Algeria,American Samoa
Republic of the Congo,Uganda,Kenya,Burundi,Zimbabwe,Ethiopia
Western Sahara,Taiwan,Hong Kong,Macau,Mexico,Egypt
Equatorial Guinea,Democratic Republic of the Congo,Gabon,Cameroon,Sao Tome And Principe,Central African Republic
Montenegro,Macedonia,Bosnia and Herzegovina,Republic of Serbia,Bulgaria,Slovenia
Pakistan,Jordan,Tunisia,Gaza Strip,Iran,Israel
Mongolia,Russia,Canada,Kyrgyzstan,Finland,Kazakhstan
Saint Lucia,Saint Vincent And The Grenadines,Barbados,Grenada,Antigua And Barbuda,Montserrat
Finland,Sweden,Norway,Estonia,Kyrgyzstan,Tajikistan
Dominican Republic,Puerto Rico,Jamaica,Cuba,Haiti,Saint Kitts And Nevis
Rwanda,Burundi,Uganda,Zimbabwe,Zambia,Malawi
United Kingdom,Ireland,Isle Of Man,Netherlands,Faroe Islands,Belgium
Isle Of Man,Ireland,United Kingdom,Guernsey,Jersey,Netherlands
Greece,San Marino,Albania,Spain,Italy,Portugal
Kiribati,Kingman Reef,Palmyra Atoll,Afghanistan,Albania,Algeria
Saudi Arabia,Bahrain,Kuwait,Qatar,Algeria,Egypt
Bosnia and Herzegovina,Montenegro,Macedonia,Republic of Serbia,Slovenia,Croatia
Benin,Togo,Ghana,Ivory Coast,Republic of the Congo,Niger
Afghanistan,Turkmenistan,Uzbekistan,South Korea,Azerbaijan,Greece
Austria,Switzerland,Czech Republic,Slovakia,Liechtenstein,Poland
Venezuela,Colombia,El Salvador,Brazil,Trinidad and Tobago,Nicaragua
Bolivia,Argentina,Peru,Chile,Afghanistan,Albania
Sri Lanka,Cambodia,Thailand,Grenada,Trinidad and Tobago,Baker Island
South Korea,Japan,Azerbaijan,Turkey,Macedonia,Croatia
Guinea Bissau,Gambia,Guinea,Senegal,Sierra Leone,Ivory Coast
Gabon,Democratic Republic of the Congo,Cameroon,Equatorial Guinea,Central African Republic,Sao Tome And Principe
Mexico,Taiwan,Western Sahara,Macau,Hong Kong,Israel
Saint Martin,Anguilla,Saint Barthélemy,Sint Maarten,Antigua And Barbuda,Montserrat
Egypt,Libya,Macau,Hong Kong,Algeria,Western Sahara
Colombia,Venezuela,Brazil,El Salvador,Honduras,Trinidad and Tobago
Somalia,Kenya,Ethiopia,Mozambique,Republic of the Congo,Uganda
Peru,Bolivia,Argentina,Chile,Afghanistan,Albania
Brazil,Colombia,Venezuela,El Salvador,Trinidad and Tobago,Saint Kitts And Nevis
Christmas Island,Indonesia,Baker Island,Malaysia,Singapore,Sri Lanka
Falkland Islands,Afghanistan,Albania,Algeria,American Samoa,Andorra
Lesotho,South Africa,Swaziland,Namibia,Botswana,Afghanistan
Suriname,Guyana,French Guiana,Trinidad and Tobago,Barbados,Dominica
Paraguay,Brazil,Colombia,Venezuela,Panama,El Salvador
Lebanon,Northern Cyprus,Gaza Strip,Morocco,Israel,Jordan
Chile,Argentina,Peru,Bolivia,Afghanistan,Albania
Mozambique,Kenya,Zambia,Ethiopia,Malawi,Zimbabwe
Mayotte,Comoros,Seychelles,Madagascar,Mauritius,Reunion
Angola,Afghanistan,Albania,Algeria,American Samoa,Andorra
Cameroon,Democratic Republic of the Congo,Gabon,Equatorial Guinea,Central African Republic,Sao Tome And Principe
Spain,Italy,San Marino,Portugal,France,Albania
Mauritius,Reunion,Madagascar,Comoros,Mayotte,Seychelles
Kingman Reef,Palmyra Atoll,Kiribati,Afghanistan,Albania,Algeria
Zambia,Malawi,Mozambique,Zimbabwe,Ethiopia,Kenya
San Marino,Italy,Spain,Greece,Albania,France
Indonesia,Christmas Island,Baker Island,Malaysia,Singapore,Sri Lanka
Liberia,Sierra Leone,Guinea,Ivory Coast,Guinea Bissau,Gambia
Argentina,Chile,Bolivia,Peru,Afghanistan,Albania
Namibia,Botswana,Swaziland,South Africa,Lesotho,Afghanistan
Portugal,Spain,San Marino,France,Greece,Italy
Norway,Sweden,Finland,Iceland,Liechtenstein,Saint Pierre And Miquelon
Eritrea,Djibouti,Afghanistan,Albania,Algeria,American Samoa
Romania,Moldova,Hungary,Republic of Serbia,Slovakia,Ukraine
Sweden,Finland,Norway,Estonia,Latvia,Liechtenstein
Cayman Islands,Turks And Caicas Islands,Haiti,British Virgin Islands,Virgin Islands,Jamaica
Nicaragua,Trinidad and Tobago,El Salvador,Jamaica,Barbados,Dominica
United States of America,Armenia,Romania,Moldova,Georgia,Hungary
Grenada,Saint Vincent And The Grenadines,Saint Lucia,Barbados,Trinidad and Tobago,Antigua And Barbuda
Djibouti,Eritrea,Afghanistan,Albania,Algeria,American Samoa
Palau,Papua New Guinea,Afghanistan,Albania,Algeria,American Samoa
South Sudan,Sudan,Chad,Central African Republic,Nigeria,Sao Tome And Principe
Zimbabwe,Zambia,Burundi,Malawi,Uganda,Mozambique
Monaco,Luxembourg,Belgium,Slovenia,Germany,Netherlands
France,Spain,Italy,Andorra,San Marino,Portugal
Bhutan,France,Andorra,Italy,Albania,Guernsey
Slovakia,Czech Republic,Poland,Austria,Germany,Romania
Yemen,Afghanistan,Albania,Algeria,American Samoa,Andorra
Virgin Islands,British Virgin Islands,Haiti,Jamaica,Antigua And Barbuda,Montserrat
Guernsey,Jersey,Isle Of Man,Ireland,France,Andorra
Bahrain,Qatar,Kuwait,Saudi Arabia,Algeria,Egypt
Montserrat,Guadeloupe,Antigua And Barbuda,Anguilla,Saint Barthélemy,Saint Martin
Burma,Laos,Vietnam,Bangladesh,Guatemala,Belize
Nepal,Bhutan,Portugal,France,Spain,San Marino
Papua New Guinea,Palau,Afghanistan,Albania,Algeria,American Samoa
Turks And Caicas Islands,Cayman Islands,Haiti,British Virgin Islands,Virgin Islands,Jamaica
Georgia,Armenia,Romania,Slovakia,Moldova,United States of America
British Virgin Islands,Virgin Islands,Haiti,Jamaica,Antigua And Barbuda,Montserrat
Dominica,Martinique,Guadeloupe,Saint Kitts And Nevis,Montserrat,Antigua And Barbuda
Thailand,Cambodia,Nicaragua,Belize,Trinidad and Tobago,Honduras
Guadeloupe,Montserrat,Antigua And Barbuda,Dominica,Martinique,Anguilla
American Samoa,Samoa,Niue,Fiji,Tonga,Solomon Islands
Nigeria,Central African Republic,Sao Tome And Principe,Equatorial Guinea,Cameroon,Democratic Republic of the Congo
Denmark,Greenland,Svalbard And Jan Mayen,Canada,Russia,Mongolia
Fiji,Niue,Samoa,Tonga,American Samoa,Solomon Islands
Tunisia,Jordan,Israel,Gaza Strip,Northern Cyprus,Libya
El Salvador,Honduras,Venezuela,Nicaragua,Belize,Colombia
Puerto Rico,Dominican Republic,Cuba,Saint Kitts And Nevis,Jamaica,British Virgin Islands
Uganda,Republic of the Congo,Burundi,Ethiopia,Kenya,Rwanda
Vietnam,Laos,Burma,Bangladesh,Guatemala,Western Sahara
Iraq,Algeria,Libya,Jordan,Egypt,Tunisia
Baker Island,Malaysia,Singapore,Sri Lanka,Indonesia,Christmas Island
United Arab Emirates,Saudi Arabia,Mauritania,Qatar,Bahrain,Kuwait
Cambodia,Thailand,Nicaragua,Trinidad and Tobago,Grenada,Barbados
Hungary,Republic of Serbia,Slovenia,Romania,Montenegro,Bosnia and Herzegovina
New Caledonia,Afghanistan,Albania,Algeria,American Samoa,Andorra
Uzbekistan,Turkmenistan,Afghanistan,South Korea,Azerbaijan,Turkey
Botswana,Namibia,Swaziland,South Africa,Lesotho,Afghanistan
Moldova,Romania,Ukraine,Hungary,Republic of Serbia,Armenia
Anguilla,Saint Barthélemy,Saint Martin,Sint Maarten,Antigua And Barbuda,Montserrat
Japan,South Korea,Turkey,Azerbaijan,Albania,Croatia
Belize,Honduras,Cuba,El Salvador,Dominican Republic,Nicaragua
Ethiopia,Kenya,Mozambique,Zambia,Somalia,Uganda
Hong Kong,Macau,Taiwan,Western Sahara,Egypt,Libya
Germany,Czech Republic,Luxembourg,Switzerland,Monaco,Slovakia
Albania,Italy,Croatia,San Marino,Turkey,Spain
China,North Korea,Ukraine,United States of America,Belarus,Tajikistan
Ivory Coast,Guinea,Liberia,Burkina Faso,Guinea Bissau,Sierra Leone
Saint Vincent And The Grenadines,Saint Lucia,Grenada,Barbados,Antigua And Barbuda,Anguilla
Kenya,Ethiopia,Mozambique,Somalia,Zambia,Uganda
Syria,Iran,Jordan,Lebanon,Gaza Strip,Tunisia
Central African Republic,Equatorial Guinea,Cameroon,Sao Tome And Principe,Democratic Republic of the Congo,Gabon
Swaziland,Namibia,South Africa,Botswana,Lesotho,Afghanistan
French Guiana,Guyana,Suriname,Trinidad and Tobago,Venezuela,Saint Kitts And Nevis
Taiwan,Hong Kong,Macau,Western Sahara,Mexico,Egypt
Uruguay,Paraguay,Zimbabwe,Rwanda,Burundi,Zambia
Tajikistan,Kyrgyzstan,China,Estonia,Latvia,Belarus
Panama,Trinidad and Tobago,Nicaragua,Grenada,Barbados,Saint Lucia
Libya,Egypt,Algeria,Macau,Hong Kong,Tunisia
Latvia,Estonia,Lithuania,Belarus,Poland,Austria
Ireland,Isle Of Man,United Kingdom,Guernsey,Jersey,Netherlands
Solomon Islands,Samoa,Fiji,American Samoa,Niue,Tonga
Comoros,Mayotte,Seychelles,Madagascar,Mauritius,Reunion
Democratic Republic of the Congo,Gabon,Cameroon,Equatorial Guinea,Central African Republic,Sao Tome And Principe
Oman,Somalia,Niger,Ethiopia,Kenya,Republic of the Congo
Gaza Strip,Israel,Northern Cyprus,Jordan,Lebanon,Tunisia
Russia,Canada,Mongolia,Svalbard And Jan Mayen,Finland,Norway
Switzerland,Austria,Czech Republic,Germany,Slovakia,Poland
Croatia,Bosnia and Herzegovina,Montenegro,Macedonia,Bulgaria,Republic of Serbia
Turkey,Azerbaijan,Bulgaria,Japan,Albania,Macedonia
French Polynesia,Afghanistan,Albania,Algeria,American Samoa,Andorra
French Southern and Antarctic Lands,Heard Island And Mcdonald Islands,Afghanistan,Albania,Algeria,American Samoa
East Timor,Afghanistan,Albania,Algeria,American Samoa,Andorra
Bulgaria,Macedonia,Montenegro,Republic of Serbia,Bosnia and Herzegovina,Croatia
Seychelles,Mayotte,Comoros,Madagascar,Mauritius,Reunion
Slovenia,Bosnia and Herzegovina,Hungary,Montenegro,Republic of Serbia,Macedonia
